Symbol,Name,Sector,Market Cap Type,Full Time Employees,City,State,AVG CLOSING PRE 08,STD PRE 08,AVG VOLUME PRE 08,% Change Pre-During 08,AVG CLOSING DURING 08,STD DURING 08,AVG VOLUME DURING 08,% Change During-Post 08,AVG CLOSING POST 08,STD POST 08,AVG VOLUME POST 08,AVG CLOSING PRE COVID,STD PRE COVID,AVG VOLUME PRE COVID,% Change Pre-During COVID,AVG CLOSING DURING COVID,STD DURING COVID,AVG VOLUME DURING COVID
CHDN,"Churchill Downs, Incorporated",Consumer Cyclical,Medium Cap Stock,5500,Louisville,KY,13.95581673,1.299369243,128220.7171314741,-10.67716448,12.46573123,1.8980727380000002,171481.42292490118,-12.07800931,10.96011905,0.7067080309999999,111561.90476190476,110.00329369999999,16.99424034,266201.1904761905,2.118228378,112.3334146,28.04231446,480317.0731707317
ROLL,RBC Bearings Incorporated,Industrials,Medium Cap Stock,1800,Oxford,CT,34.56187251,4.098997838,172090.03984063744,-9.881159117000001,31.14675889,6.255467495,187406.71936758893,-20.278464000000003,24.830674600000002,3.46254264,104580.55555555556,149.9984524,13.76462446,98705.95238095238,-9.673377002,135.4885366,28.05856108,168909.75609756098
LTC,"LTC Properties, Inc.",Real Estate,Small Cap Stock,22,Westlake Village,CA,11.91677291,0.950771657,116325.09960159363,9.621621426,13.06335968,1.6835144219999998,196282.60869565216,13.24962879,14.79420635,1.177246672,142829.3650793651,44.41373016,2.717889014,206542.85714285713,-16.577379500000003,37.05109756,7.129889097,410892.68292682926
ADX,Adams Express Company (The),Financial Services,Small Cap Stock,4,Baltimore,MD,6.117091632999999,0.233009673,95475.29880478088,-14.51283753,5.2293280630000005,0.790466975,135457.7075098814,-4.397562767,4.9993650789999995,0.344377135,118718.25396825396,13.9527381,0.9842241890000001,179310.31746031746,0.388548283,14.00695122,1.500271324,439676.8292682927
KALU,Kaiser Aluminum Corporation,Basic Materials,Small Cap Stock,2835,Foothill Ranch,CA,53.16494024,5.320994521,191250.99601593625,-25.19268404,39.77126482,13.41031947,327949.4071146245,-25.32416572,29.69952381,2.434044347,155409.92063492062,97.53345238,7.255592731,119061.90476190476,-19.92791062,78.09707317,15.6592685,145146.34146341463
MANH,"Manhattan Associates, Inc.",Technology,Medium Cap Stock,3500,Atlanta,GA,7.10250996,0.239754197,1053912.3505976095,-22.527526899999998,5.502490119,0.959390372,1242009.4861660078,7.103024382,5.893333332999999,1.010870793,597480.9523809524,69.03265873,12.75078239,469236.50793650793,-4.416750346000001,65.98365854,12.87019895,796476.8292682926
AKR,Acadia Realty Trust,Real Estate,Small Cap Stock,118,Rye,NY,15.98772908,0.8537095659999999,272575.6972111554,-13.25313506,13.86885375,2.523812441,340309.48616600793,-19.40430976,11.17769841,1.289354613,340533.7301587302,26.44531746,0.986504705,476152.38095238095,-38.89000678,16.16073171,5.650145804,947736.5853658536
MYI,"Blackrock MuniYield Quality Fund III, Inc.",Financial Services,Small Cap Stock,14900,Wilmington,DE,6.56187251,0.18321157100000002,98201.1952191235,-10.46552137,5.87513834,0.780478384,143430.0395256917,18.9833516,6.990436507999999,0.392201123,106055.55555555556,12.67257937,0.548108749,124043.6507936508,0.80147043,12.77414634,0.8999148809999999,211440.24390243902
MDP,Meredith Corporation,Communication Services,Small Cap Stock,5560,Des Moines,IA,34.98354582,1.44762446,338016.3346613546,-46.00555913,18.88916996,6.201328367,692396.8379446641,7.143573742999999,20.23853175,2.216562211,365204.7619047619,45.75714286,8.396673915,510191.6666666667,-59.11473999,18.70792683,7.196333727000001,1709115.8536585367
IMGN,"ImmunoGen, Inc.",Healthcare,Small Cap Stock,75,Waltham,MA,5.065856574,0.42508489,135403.187250996,-22.22440682,3.94,0.6865741959999999,220204.34782608695,106.69164450000001,8.143650794,0.880647266,635849.2063492064,3.175833333,1.129417092,2936432.5396825396,29.8910087,4.125121951000001,0.885786592,3198345.1219512196
LMNX,Luminex Corporation,Healthcare,Small Cap Stock,1257,Austin,TX,13.45250996,1.310724866,235025.49800796813,45.30165319,19.54671937,2.831311588,369120.1581027668,-21.01930441,15.43813492,1.266584049,269387.6984126984,21.829761899999998,2.050109302,257517.85714285713,32.12717989,28.84304878,4.3889633439999995,663539.0243902439
CTB,Cooper Tire & Rubber Company,Consumer Cyclical,Small Cap Stock,8720,Findlay,OH,15.40984064,3.354839605,1253242.231075697,-44.97843698,8.478735177999999,3.133402732,1058131.6205533596,75.4777492,14.87829365,2.308945333,1136240.873015873,28.81702381,2.7689909760000004,368654.3650793651,-23.49457907,22.04658537,3.7865223039999996,507332.9268292683
